tier,table_name,use
core,transactions,"Core transaction records (type workflow office reference title creator) pinned to a workflow version"
core,transaction_states,"Current-step pointer per transaction (current_step_id entered_at)"
core,transaction_step_runs,"History of every move/return between steps (from/to action remarks performer attachments)"
core,transaction_requirement_checks,"Checklist check-off records per transaction+step+requirement (checker timestamp)"
core,transaction_attachments,"Uploaded evidence files per transaction/step with uploader mime size and step-run link"
core,field_values,"Per-transaction answers to dynamic fields (value_text/value_number/value_json + updated_by)"
core,workflow_definitions,"Versioned process flows per transaction type (draft/published/archived)"
core,workflow_steps,"Stations of a workflow (order hierarchy code name stage SLA start/end flags)"
core,workflow_routes,"Allowed moves between steps (action_code return flag group approvals condition)"
core,step_roles,"Pivot granting roles permission to work on workflow steps - core of routing auth"
core,step_requirements,"Pivot assigning checklist requirements to workflow steps (display_order is_required)"
core,field_definitions,"Admin-defined dynamic form fields (code name type options required) reusable across steps"
core,field_definition_workflow_step,"Pivot assigning fields to workflow steps with display_order and required_override"
core,requirement_definitions,"Versioned checklist item definitions per workflow (code name description is_active)"
core,transaction_types,"Transaction categories (code name description) each with a published workflow"
core,users,"System users (name email password office role active) - transaction creators and step workers"
core,roles,"User roles (superadmin etc.) driving step access via step_roles and EnsureRole gates"
core,role_user,"Pivot assigning roles to users"
core,offices,"LGUs offices that own transactions and have their own 1-2-3 step hierarchies"
core,office_steps,"Per-office step hierarchy (order parent code name description is_active)"
core,government_references,"Admin reference list (source code) selectable metadata for transactions"
core,audit_logs,"Append-only audit trail of who did what (actor action target payload) written by AuditService"
framework,sessions,"Framework session storage (SESSION_DRIVER=database) for Sanctum SPA cookie auth - clear not drop"
framework,cache,"Framework key-value cache backend (CACHE_STORE=database); rate-limiter counters and temp entries - clear not drop"
framework,cache_locks,"Framework atomic locks (Cache::lock) so scheduler/jobs/rate-limiter never double-run - hands off"
framework,jobs,"Framework queue for pending background jobs (QUEUE_CONNECTION=database) - hands off"
framework,job_batches,"Framework tracking for batches of queued jobs - hands off"
framework,failed_jobs,"Framework table for queued jobs that exhausted retries; inspect/retry from here - debugging aid"
framework,migrations,"Framework ledger of which migrations have run (batch/status) - never edit by hand"
framework,password_reset_tokens,"Framework password-reset tokens keyed by email - hands off"
framework,permissions,"Role permission catalog (currently UNUSED - auth is role-code based)"
framework,permission_role,"Pivot granting permissions to roles (currently UNUSED)"
